,t,y,pmi,npmi,dice,zscore
1572,believe,1982,8.135026047811563,0.5162583786540743,0.0017228177641653904,9.391552454510087
1573,believe,1983,7.5387946670891735,0.4704583984023803,0.0014450867052023123,5.9386607239565175
1574,believe,1984,8.440426305082132,0.5522876443351638,0.0027909572983533353,13.718110628999796
1575,believe,1985,7.293451916553586,0.4449730823865432,0.0009420631182289214,4.842562985291963
1576,reason,1957,8.520696516736754,0.49977941171557155,0.0005188067444876783,5.17112514745961
1577,reason,1958,9.097834270551203,0.5482529874246616,0.0007905138339920949,7.914023091952652
1578,reason,1959,8.03666089822229,0.4522660776536772,0.00025094102885821835,3.005655255731002
1579,reason,1960,7.517667693281985,0.4223987289566902,0.00024494794856093084,2.4015090378780783
1580,reason,1961,6.951619846358251,0.3880326918250321,0.00020822488287350335,1.8308110318438162
1581,reason,1962,8.173943570116178,0.4586498619850179,0.00024113817217265494,3.180894824389186
1582,reason,1963,7.575229936754333,0.42622917805472577,0.0002612671456564337,2.464333200553581
1583,reason,1964,7.132638465895096,0.39960956119502516,0.00024213075060532688,2.004626207959407
1584,reason,1965,8.159031170577324,0.45423887899924104,0.00020751193193608628,3.1615201963266077
1585,reason,1966,7.364666511119735,0.4294144491675126,0.0004709206498704968,3.166536732319773
1586,reason,1967,6.172549767921679,0.3429731217683645,0.0001986886548778065,1.1568883428150938
1587,reason,1968,7.474420090531212,0.462015323952928,0.001170046801872075,5.768390869830656
1588,reason,1969,7.184198358582334,0.42736391670875956,0.0006361323155216285,3.5603331242785665
1589,reason,1970,6.786378815384417,0.38607534081192163,0.0003297609233305853,1.678426798014344
1590,reason,1971,7.999315791759938,0.48451944209018105,0.0009555661729574774,5.918312530841121
1591,reason,1972,8.664921046575289,0.5385878666356252,0.0015082956259426848,10.237696549410956
1592,reason,1974,6.15474897150618,0.34751321473121893,0.00030225177572918235,1.1426430725160075
1593,reason,1975,6.568132992359977,0.39576845302937835,0.0008862301982940068,2.971076223073029
1594,reason,1976,7.948017503364327,0.5210724009991897,0.0032473734479465137,11.94097247408591
1595,reason,1977,7.896440076321892,0.5114782272238492,0.0026717132361126572,9.816088662172364
1596,reason,1978,8.173873369254665,0.5352114014915639,0.0033467202141900933,12.319050621910208
1597,reason,1979,7.416765858897844,0.46484325324500353,0.0017801513128615932,5.61821376417551
1598,reason,1980,7.841550828404369,0.5000289565083444,0.0022665457842248413,8.753738040990648
1599,reason,1981,6.771674014031392,0.4086843209469982,0.0009513616363420144,3.330259053651089
1600,reason,1982,5.316995648484068,0.29613080789511476,0.00024304289707133308,0.5128970954535012
1601,reason,1983,7.55935155044836,0.4664342664634522,0.0014575134819997085,5.471367228296691
1602,reason,1984,6.493668843835169,0.384420423993369,0.0007186489399928136,2.462493018234103
1603,reason,1985,7.71246620521919,0.4705371200637318,0.0012515644555694619,5.8542413508075635
1604,would,1957,8.072430628285161,0.5003792741158193,0.0003815046543567831,6.8226877014516765
1605,would,1958,8.363525450881133,0.5259721850113621,0.00047672016526299066,8.415119253543416
1606,would,1959,7.862887391305667,0.4716463576504017,0.00022295715506670134,4.839436207710188
1607,would,1960,7.3587419590808585,0.4406709376868523,0.0002200784946630965,3.8682246018251156
1608,would,1961,9.183546908866264,0.603903147814301,0.0009817396426467701,18.281222068491047
1609,would,1962,7.427589471835333,0.4336366006756051,0.00014402477226082885,3.2604720305955204
1610,would,1963,8.901604196419012,0.5715152757995099,0.0006574141709276845,12.72312033984889
1611,would,1964,9.362599029880073,0.6235162822571658,0.0011407864716145484,20.812081174868826
1612,would,1965,8.882390246800506,0.5493053358760072,0.0003432003432003432,10.312284192116824
1613,would,1966,6.812156667340182,0.41961776008233315,0.0003233316088980859,3.806168353996061
1614,would,1967,7.965915702714703,0.5161868522419825,0.0006932963575275985,10.523306360332688
1615,would,1968,7.705053706740288,0.5223501213365528,0.0013937670736466523,13.051082634757027
1616,would,1969,8.20733019944932,0.5538733365345085,0.0013061418351292783,15.127729649570098
1617,would,1970,8.080196203514832,0.5253486131677363,0.0008148483476686282,9.183063373304972
1618,would,1971,8.573291674576518,0.5772651974112261,0.0014362411517286188,17.110216295000292
1619,would,1972,7.694827895741511,0.4974295092849194,0.000777721276659388,9.368987668152315
1620,would,1973,8.336411857317135,0.5435820955532239,0.0009319330441951324,12.252243481155862
1621,would,1974,8.116546407380952,0.5385261744785291,0.0011911852293031567,11.626363889402182
1622,would,1975,8.179843633493734,0.5761263484956544,0.002777777777777778,21.154176021656987
1623,would,1976,7.915492755152337,0.5650344250513382,0.0032863588258229826,21.946014308802216
1624,would,1977,8.409148898334905,0.6088071398563689,0.00392333419089272,27.325825202200082
1625,would,1978,8.375544119529422,0.6066642832138517,0.003975899929657155,27.830948685700267
1626,would,1979,8.617449884467668,0.6219582210265966,0.004216141800034418,26.592542057017802
1627,would,1980,8.120702478607685,0.5690270468727957,0.002825248070562293,19.93002541411107
1628,would,1981,8.487866393959191,0.59988818140673,0.0032021632391660147,24.215745108935756
1629,would,1982,8.774788808314929,0.6139939891224054,0.0027169180396391375,25.222502643434623
1630,would,1983,8.826891614465385,0.6269789505557508,0.0035903573260386394,26.705957135502842
